Name,Headquarters,Num Employees,Rev,EBITDA,Num Offices,CEO,CTO,CFO,Website,Phone Number,Email Address,Solution/Info,Financials Link
Stellar Projects Ltd,"Takapuna, Auckland",51-200 employees,N/A,N/A,5,N/A,N/A,N/A,https://www.stellarprojects.co.nz,https://www.stellarprojects.co.nz,N/A,Project Delivery Specialists,N/A
McKenzie Group Consulting,"Sydney, NSW",51-200 employees,N/A,N/A,4,N/A,N/A,N/A,http://www.mckenzie-group.com.au,N/A,N/A,"Specialist Consultants in Building Surveying, Certification, Accessibility and Compliance Management.",N/A
Stabilised Pavements of Australia,"Somersby, NSW",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.stabilisedpavements.com.au/,N/A,N/A,N/A,N/A
Strongbuild,"Bella Vista, NSW",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,http://www.strongbuild.com.au,N/A,N/A,N/A,N/A
Westkon Precast,"Melton, Victoria","501-1,000 employees",N/A,N/A,2,N/A,N/A,N/A,https://westkon.com.au,N/A,N/A,N/A,N/A
Kraftur®,"Hemmant, Queensland",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.kraftur.com.au,07 31 713 844,N/A,"A Concrete Advantage® ♦ Commercial & Industrial Concrete Contractor 
♦ Aircraft Pavements ♦ Super Flat Floors",N/A
McElligotts,"Melbourne, VIC",201-500 employees,N/A,N/A,5,N/A,N/A,N/A,http://www.mcelligotts.com.au,03 9369 6711,N/A,Welcome to McElligotts: Protective Coating Contractors since 1954.,N/A
Aconex,Melbourne,"501-1,000 employees",N/A,N/A,3,N/A,N/A,N/A,https://www.oracle.com/industries/construction-engineering/aconex-project-controls/,N/A,N/A,N/A,N/A
CoreLogic Australia,"Sydney, New South Wales","501-1,000 employees",N/A,N/A,1,N/A,N/A,N/A,http://www.corelogic.com.au,1300 734 318,N/A,Helping people build better lives.,N/A
"AAM, a Woolpert Company","Sydney, New South Wales",201-500 employees,N/A,N/A,4,N/A,N/A,N/A,http://www.aamgroup.com/,N/A,N/A,N/A,N/A
BCI Media Group,"Chatswood, New South Wales","501-1,000 employees",N/A,N/A,17,N/A,N/A,N/A,http://www.bcimediagroup.com,N/A,N/A,Building Construction Information,N/A
EstimateOne,"Richmond, Victoria",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.estimateone.com,1300 705 035,N/A,Australia and New Zealand’s leading procurement platform for commercial construction.,N/A
SICE ANZ,"Melbourne, VIC",201-500 employees,N/A,N/A,3,N/A,N/A,N/A,http://www.sice.com/en,N/A,N/A,Technology for Progress,N/A
CoreLogic NZ,Wellington,51-200 employees,N/A,N/A,2,N/A,N/A,N/A,http://www.corelogic.co.nz,0800 355 355,N/A,Helping people build better lives.,N/A
Envirosuite,"North Sydney, NSW",201-500 employees,N/A,N/A,15,N/A,N/A,N/A,http://envirosuite.com,N/A,N/A,Harness the power of Environmental Intelligence.,N/A
Velrada,"Perth, WA",201-500 employees,N/A,N/A,7,N/A,N/A,N/A,https://velrada.com,+618 6214 4800,N/A,"Microsoft 2021 Growth  Partner of the Year 
2021/2022 Inner Circle for Microsoft Dynamics, Partner Advisory Council",N/A
BCI Australia,"Chatswood, New South Wales","501-1,000 employees",N/A,N/A,4,N/A,N/A,N/A,http://www.bciaustralia.com,N/A,N/A,Building Construction Information,N/A
NBS,"Newcastle, Newcastle upon Tyne",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,http://www.theNBS.com,N/A,N/A,NBS is a technology platform for the construction industry. Thousands of users interact daily with our tools.,N/A
BCI Central,"Chatswood, New South Wales","501-1,000 employees",N/A,N/A,9,N/A,N/A,N/A,https://www.bcicentral.com/,N/A,N/A,Enabling sales success with construction data & software solutions,N/A
Central Innovation,"Pymble, NSW",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.centralinnovation.com,N/A,N/A,Parent company of Intercad and GRAPHISOFT Australia,N/A
TIMG (The Information Management Group),"Enfield , NSW",201-500 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.timg.com,N/A,N/A,Records Management | Scanning | Data Storage | eDiscovery | Cloud Backup |  #informationmanagement #digitisation #data,N/A
A2K Technologies,"Brisbane, QLD",51-200 employees,N/A,N/A,6,N/A,N/A,N/A,http://www.a2ktechnologies.com.au,N/A,N/A,Think Technology. Think A2K,N/A
CDC Data Centres,"Fyshwick, ACT",51-200 employees,N/A,N/A,4,N/A,N/A,N/A,http://www.canberradc.com.au,N/A,N/A,Keeping Australia's Data Safe,N/A
Felix,"Hendra, Brisbane, Queensland",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,https://www.felix.net,N/A,N/A,"A platform for organisations to discover, manage & engage with their vendors.",N/A
SoftLabs | Digital Transformation |  Industrial Business Software | IT Services Provider.,"Parramatta, New South Wales",51-200 employees,N/A,N/A,9,N/A,N/A,N/A,http://www.softlabs.com.au,1300207208,N/A,Transforming Enterprises through Digital Consulting & Business Software Solution Services for Australia & New Zealand.,N/A
JAV IT Group,"Melbourne, VIC",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,http://www.jav.com.au,N/A,N/A,N/A,N/A
Baseplan Software Group,"THORNLEIGH, NSW",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,http://www.baseplan.com,N/A,N/A,"Total Integrated ERP Solution with Rental, Service, Sales, Parts and Financials",N/A
Precise Business Solutions,"Mt. Hawthorn, Western Australia",51-200 employees,N/A,N/A,5,N/A,N/A,N/A,https://precisebusiness.com/,+61 (08) 9242 5933,N/A,Software to Empower Your Business,N/A
Alliance SI,"Artarmon, New South Wales",51-200 employees,N/A,N/A,3,N/A,N/A,N/A,http://www.alliancesi.com.au,1300 139 975,N/A,We build the most dependable networks,N/A
Auto-IT,"Docklands, Victoria",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,https://auto-it.com,61 3 9349 3062,N/A,Dealer Management Systems,N/A
Tecco Technology,"Alexandria, NSW",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.tecco.com.au,+61284843800,N/A,Your Digital Transformation Partner,N/A
Fortior Global,"Toorak, VIC",51-200 employees,N/A,N/A,4,N/A,N/A,N/A,http://www.fortiorglobal.com,N/A,N/A,N/A,N/A
Vast Dreams,"Sydney, Australia",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://vastdreams.com,+61415780001,N/A,Bringing Dreams into reality,N/A
TeamBinder (QA Software Pty Ltd),"Melbourne, Victoria",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.teambinder.com,N/A,N/A,N/A,N/A
Thinkproject New Zealand & Australia,"Takapuna, Auckland",201-500 employees,N/A,N/A,2,N/A,N/A,N/A,https://thinkproject.com/products/ramm/,0800 256 832,N/A,"Thinkproject develops and delivers best-in-class solutions to support, connect and advance the construction industry.",N/A
APE Mobile (Part of Damstra Technology),"South Yarra, VIC|AUS",51-200 employees,N/A,N/A,8,N/A,N/A,N/A,https://www.damstratechnology.com/,1300722801,N/A,Site Intelligence Platform,N/A
TR Pty Ltd,"Blackburn North, Victoria",201-500 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.tr.com.au,N/A,N/A,N/A,N/A
Renown,"Melbourne, Vic","1,001-5,000 employees",N/A,N/A,5,N/A,N/A,N/A,http://www.renown.com.au,N/A,N/A,N/A,N/A
Delos Australia,"Melbourne, VIC",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.delos.com.au,1300 033 567,N/A,Innovate Well,N/A
Wamarragu Transport Services,"Sydney, NSW",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,https://wamarragu.com.au/,0433142466,N/A,Project management and Engineering Consultants,N/A
MultiMedia Communications Ltd,"Christchurch, 8061",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.mmcltd.co.nz,N/A,N/A,N/A,N/A
InFocus by ENData,"Brisbane, QLD",N/A,N/A,N/A,1,N/A,N/A,N/A,https://www.infocus.vision,1300 359 994,N/A,"Audio Visual Connection Platform
https://www.infocus.vision",N/A
Astelec,"Beverley, South Australia",51-200 employees,N/A,N/A,2,N/A,N/A,N/A,http://www.astelec.com.au,http://www.astelec.com.au,N/A,"""Building Tomorrow's Networks""
Optical Fibre Services
Telecommunication & Civil Infrastructure",N/A
Incite (Nexus Point Solutions),"St Leonards, NSW",51-200 employees,N/A,N/A,1,N/A,N/A,N/A,http://www.incite.com,N/A,N/A,N/A,N/A
